Ability,AttackPower,Description,Enemies
"Stone Beak",45,"Non-elemental attack and can inflict Petrify.","Hot Wings; Stoney Roost; Pazuzu"
"Stone Block",1,"Non-elemental attack.","Stone Golem"
"Stone Gas","�","Inflicts Petrify.","Dualhead Hydra; Skullrus Rex"
"Stone Gaze","�","Inflicts Petrify.","Mad Toad; Medusa; Mummy; Stheno"
"Sucker Stick",50,"Drain attack to both characters.","Squidite; Phanquid"
"Sword",5,"Damage attack.","Skeleton; Red Bone; Skuldier"
"Tail",5,"Damage attack.","Snipion"
"Three Heads",200,"Damage attack that can hit up to 3 times.","Gidrah"
"Thunder","20/100","There is a weak and strong version of this attack. Thunder attack.","Dualhead Hydra; Gargoyle; Manticor; Naga; Sorcerer; Stone Golem; Twinhead Wyvern"
"Thunder Beam",80,"Thunder attack.","Beholder; Dullahan; Ooze; Thanatos"
"Tornado",80,"Wind attack.","Chimera; Gidrah; Snow Crab; Twinhead Wyvern"
"Triple Fang",70,"Damage attack that can hit up to 3 times.","Cerberus; Were Wolf"
"Twin Fang",70,"Non-elemental attack that can hit up to 2 times.","Flamerus Rex; Skullrus Rex"
"Twin Shears",50,"Damage attack that can hit up to 2 times.","Snipion"
"Typhoon",250,"Wind attack on both characters.","Garuda; Vampire"
"Uppercut",15,"Damage damage.","Fangpire; Vampire"
"Watergun",60,"Water attack.","Desert Hag; Water Hag"
"Whirlwater",200,"Water attack on both characters.","Water Hag"
"Whip Tongue",5,"Damage attack.","Giant Toad; Mad Toad; Poison Toad"
"Windstorm",5,"Wind attack.","Pazuzu"
"Wraparound",10,"Damage attack.","Lamia; Naga"
